,score,model,xcols,val_wt_f1,val_acc,wt_f1,acc,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18
L1149,0,GaussianProcessClassifier(),tspk2 lspk2 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1160,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1168,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=2, p=1)",tsfw2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,0.8812707444286392,0.8648648648648649,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1167,0,GaussianProcessClassifier(),tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tsfw1 lsfw3 teosVolume,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1166,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tspk2 tsfw2 lspk2 lsfw2 lsfw3,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1165,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,,AugmentImb: SMOTE,,,,,,,,,
L1164,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1163,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: SMOTE,,,,,,,,,
L1162,0,SVC(C=0.667),tsfw2 tspk2 lsfw2 lspk2 lsfw3 teosVolume,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1161,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,,,,,,,,,
L1159,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tsfw1 tsfw2 lspk3 teosVolume teosVolPct,0.6249999999999999,0.6666666666666666,0.5925925925925927,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1150,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L1158,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,,,,,,,,,
L1157,0,GaussianProcessClassifier(),tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1156,0,SVC(),lspk1 tspk2 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,AugmentImb: ADASYN,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1155,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L1154,0,SVC(C=0.556),lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1153,0,GaussianProcessClassifier(),tspk2 lspk2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.9634920634920635,0.9636363636363636,0.3333333333333333,0.3333333333333333,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1152,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.5, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=7, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=5, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.8, ...)",tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,0.9897753566654717,0.9897959183673469,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1151,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tsfw2 tspk2 lspk2 tsfw1 lsfw3,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1127,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L1125,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=2,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=7,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=8, n_jobs=0,
              num_parallel_tree=1, objective='multi:softmax', predictor='auto',
              random_state=0, reg_alpha=0.2, ...)",tspk2 lsfw2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,0.9555839364268484,0.9555555555555556,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,,AugmentImb: SMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1258,0,SVC(C=0.889),tsfw2 tspk2 lsfw1 lspk2 lsfw3,0.979508251531281,0.9795918367346939,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1124,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=3)",tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1101,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=1,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=7,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=7, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.2, ...)",tsfw2 tspk2 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,0.8907452907452906,0.8918918918918919,0.611111111111111,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1100,0,SVC(),tspk1 lspk1 tspk2 lspk2 lsfw3,0.9777777777777777,0.9777777777777777,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1099,0,SVC(kernel='linear'),tsfw1 lspk1 tspk2 tsfw2 lspk2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.9734675852322912,0.972972972972973,0.380952380952381,0.3333333333333333,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1098,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=2,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=6,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=6, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.1, ...)",tsfw1 tspk2 tsfw2 lspk2 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1097,0,SVC(),tspk2 lsfw2 tsfw1 lsfw3 teosVolume,0.9551485738612175,0.9555555555555556,0.380952380952381,0.3333333333333333,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1096,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=1,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=6,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=8, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0, ...)",tsfw1 tspk2 tspk3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.2222222222222222,0.16666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,,AugmentImb: ADASYN,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1095,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tsfw1 tspk2 tsfw2 lspk2 lsfw3,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: SMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1094,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=2,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=9,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=5, n_jobs=0,
              num_parallel_tree=1, objective='multi:softmax', predictor='auto',
              random_state=0, reg_alpha=0.8, ...)",lspk1 tspk2 tsfw2 tsfw3 lspk3 teosVolPct,0.9914554903107319,0.9915611814345991,0.380952380952381,0.3333333333333333,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1093,0,GaussianProcessClassifier(),tspk2 tsfw1 teosVolPct lsfw3 teosVolume,0.7823142291227398,0.8108108108108109,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1092,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.05, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=7, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.2, ...)",tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1091,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L1090,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1)",tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1089,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,,,,,,,,,
L1088,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L1087,0,GaussianProcessClassifier(),tspk2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.9816670102384387,0.9818181818181818,0.3333333333333333,0.3333333333333333,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1086,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1085,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=1,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=7,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=4, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=3.2, ...)",tsfw2 tspk2 tsfw1 lsfw3 teosVolume,0.9814539190406952,0.9813664596273292,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1084,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1)",tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: ADASYN,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1083,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.05, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=3, n_jobs=0,
              num_parallel_tree=1, objective='multi:softmax', predictor='auto',
              random_state=0, reg_alpha=0.4, ...)",tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L1102,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=2, p=1)",tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
